Image Name,Category,Quality Score
ILSVRC2012_val_00037809.JPEG,sea snake,0.8286027
ILSVRC2012_val_00046465.JPEG,sea snake,0.78301054
ILSVRC2012_val_00021259.JPEG,sea snake,0.77555215
ILSVRC2012_val_00032628.JPEG,sea snake,0.76115406
ILSVRC2012_val_00002154.JPEG,sea snake,0.7455844
ILSVRC2012_val_00023770.JPEG,ski,0.8721222
ILSVRC2012_val_00024142.JPEG,ski,0.85628617
ILSVRC2012_val_00043689.JPEG,ski,0.8524716
ILSVRC2012_val_00009557.JPEG,ski,0.852104
ILSVRC2012_val_00018348.JPEG,ski,0.83968157
ILSVRC2012_val_00003872.JPEG,"Shetland sheepdog, Shetland sheep dog, Shetland",0.90367323
ILSVRC2012_val_00031875.JPEG,"Shetland sheepdog, Shetland sheep dog, Shetland",0.874304
ILSVRC2012_val_00018710.JPEG,"Shetland sheepdog, Shetland sheep dog, Shetland",0.8709114
ILSVRC2012_val_00032064.JPEG,"Shetland sheepdog, Shetland sheep dog, Shetland",0.866444
ILSVRC2012_val_00024677.JPEG,"Shetland sheepdog, Shetland sheep dog, Shetland",0.84596586
ILSVRC2012_val_00025811.JPEG,soup bowl,0.8776569
ILSVRC2012_val_00008511.JPEG,soup bowl,0.8671465
ILSVRC2012_val_00045097.JPEG,soup bowl,0.8511982
ILSVRC2012_val_00013717.JPEG,soup bowl,0.8406835
ILSVRC2012_val_00038858.JPEG,soup bowl,0.8379479
ILSVRC2012_val_00003614.JPEG,cradle,0.84898764
ILSVRC2012_val_00008716.JPEG,cradle,0.84533286
ILSVRC2012_val_00016343.JPEG,cradle,0.84533185
ILSVRC2012_val_00027199.JPEG,cradle,0.82840866
ILSVRC2012_val_00014324.JPEG,cradle,0.8100193
ILSVRC2012_val_00010275.JPEG,"garter snake, grass snake",0.81753844
ILSVRC2012_val_00019982.JPEG,"garter snake, grass snake",0.8150823
ILSVRC2012_val_00034054.JPEG,"garter snake, grass snake",0.81358963
ILSVRC2012_val_00009492.JPEG,"garter snake, grass snake",0.8095431
ILSVRC2012_val_00010140.JPEG,"garter snake, grass snake",0.8081694
ILSVRC2012_val_00025333.JPEG,"porcupine, hedgehog",0.8280439
ILSVRC2012_val_00049176.JPEG,"porcupine, hedgehog",0.8244464
ILSVRC2012_val_00047267.JPEG,"porcupine, hedgehog",0.8194005
ILSVRC2012_val_00016953.JPEG,"porcupine, hedgehog",0.81268406
ILSVRC2012_val_00037361.JPEG,"porcupine, hedgehog",0.79895043
ILSVRC2012_val_00041465.JPEG,"bakery, bakeshop, bakehouse",0.85422546
ILSVRC2012_val_00024657.JPEG,"bakery, bakeshop, bakehouse",0.83379054
ILSVRC2012_val_00032747.JPEG,"bakery, bakeshop, bakehouse",0.81475437
